email,nome,telefone
testeg10100porcentosenhorita@gmail.com,100 SENHORITA,634563536534
testeg10alisson_z@hotmail.com,A S ZAGO PRESTAÇÃO DE SERVIÇOS LTDA,634563536534
testeg10abmagro10@gmail.com,ABM AGRO,634563536534
testeg10abnimpressora@gmail.com,ABN IMPRESSORAS,634563536534
testeg10rosaalimariot@yahoo.com.br,ABRACE MALWEE,634563536534
testeg10aconchego.palotina@gmail.com,"ACONCHEGO - ANDRESSA BOLOS, DOCES E SALGADOS",634563536534
testeg10acquasolaris@gmail.com,ACQUASOLARIS E RONCA CUIA,634563536534
testeg10adiprime.financeiro@hotmail.com,ADIPRIME,634563536534
testeg10dede_ceolin@hotmail.com,ADOLETA,634563536534
testeg10aduplan@aduplan.com.br,ADUPLAN,634563536534
testeg10agrouniao_petshop@hotmail.com,AGRO UNIÃO PET SHOP,634563536534
testeg10agropal.palotina@hotmail.com,AGROPAL ,634563536534
testeg10renatojsimioni@gmail.com,AI CHOPP,634563536534
testeg10alphapalotina@gmail.com,ALPHA BIKES ,634563536534
testeg10alternativa_certa@hotmail.com,ALTERNATIVA CERTA,634563536534
testeg10emerson.amacol@gmail.com,AMACOL,634563536534
testeg10andrade_financeiro@outlook.com,ANDRADE MATERIAIS DE CONSTRUÇÃO,634563536534
testeg10advogados@apbc.adv.br,"ANGELICO, PEDRON & BRUNIERI CASTILHO ADVOGADOS",634563536534
testeg10financeiro@acipapalotina.com.br,ANILO BENINCA,634563536534
testeg10medianeira.avbrasilia@anjoscolchoes.com.br,ANJOS COLCHÕES,634563536534
testeg10ntonio.consult@gmail.com,ANTONIO CARLOS ALVES FERREIRA - SERVIÇOS ADMINISTRATIVOS,634563536534
testeg10psbebidas@yahoo.com.br,ANTONIO PARCIANELO,634563536534
testeg10aospares@hotmail.com,AOS PARES,634563536534
testeg10palotina@embalagensvazias.org.br,ARDEFA,634563536534
testeg10renapalotina@gmail.com,ARENA ESPORTES,634563536534
testeg10armazem165@hotmail.com ,ARMAZEM DOS PRESENTES,634563536534
testeg10rifloratendimento@hotmail.com,ARMAZEM SILVA,634563536534
testeg10monique.ananias@hotmail.com,AS ARQUITETAS,634563536534
testeg10ivone.missio@cvale.com.br,ASFUCA,634563536534
testeg10assisplan@outlook.com,ASSISPLAN,634563536534
testeg10adm@atcpalotina.com.br,ATC - AVENIDA TENIS CLUBE,634563536534
testeg10elizangelacantelli@gmail.com,ATELIÊ DE DOCES ELIZ CANTELLI,634563536534
testeg10ajainefesouza@gmail.com,ATELIE ESPAÇO DIVINE,634563536534
testeg10valverde_palotina@hotmail.com,AUTO ELETRICA VALVERDE,634563536534
testeg10OFICINA_DO_PEDRO@HOTMAIL.COM,AUTO MECANICA DO PEDRO,634563536534
testeg10postosaocamilo@gmail.com,AUTO POSTO SÃO CAMILO,634563536534
testeg10aviparana@hotmail.com,AVIPARANA,634563536534
testeg10diego@lazzari.net.br,AZZ AGENCIA DE MARKETING E PUBLICIDADE DIGITAL LTDA,634563536534
testeg10bbkidspalotina@hotmail.com,BABY KIDS PALOTINA,634563536534
testeg10barbosajr.cardetail@gmail.com,BARBOSA JR CAR DETAIL,634563536534
testeg10seguros@batistaseg.com.br,BATISTA CORRETORA DE SEGUROS E SOL. COMERCIAS - CONSÓRCIOS,634563536534
testeg10laudio@bcsadvogados.com,BCS ADVOGADOS,634563536534
testeg10beefranchdelivery@gmail.com,BEEF RANCH BOUTIQUE DE CARNES,634563536534
testeg10belladolceboutique@hotmail.com,BELLA DOLCE BOUTIQUE,634563536534
testeg10catiabender@hotmail.com,BENDER E SPERANDIO LTDA (CATIA BENDER),634563536534
testeg10financeiro@betomartelinhodeouro.com.br,BETO MARTELINHO DE OURO,634563536534
testeg10bicicletariamartinspaulo@gmail.com,BICICLETARIA MARTINS,634563536534
testeg10cremonese_cremonese@hotmail.com,BICICLETARIA OESTE,634563536534
testeg10brunab_marchioro@hotmail.com,BM TREINAMENTO,634563536534
testeg10borba@borbainstalacoes.com.br,BORBA INSTALACOES ELETRICAS,634563536534
testeg10adm@boutiquedeccor.com,BOUTIQUE DECOR,634563536534
testeg10box12autocenter@hotmail.com,BOX12 - PECAS E SERVICOS,634563536534
testeg10iacimplementos@gmail.com,BRASIL IMPLEMENTOS AGRICOLAS,634563536534
testeg10jeziel_600@hotmail.com,BRASIL MOTOS E PEÇAS,634563536534
testeg10financeiro@bwimateriaiseletricos.com.br,BWI MATERIAIS ELÉTRICOS,634563536534
testeg10cartapalotina@hotmail.com,C.A.R.T.A,634563536534
testeg10cacaushowpalotina@gmail.com,CACAU SHOW,634563536534
testeg10ag0955@caixa.gov.br,CAIXA ECONOMICA FEDERAL/ AGENCIA PALOTINA PR ,634563536534
testeg10ANDREPIACENTINI@OPCAO.COM.BR,CALHAS ANDRE,634563536534
testeg10ELIAS@CALORY.COM.BR,CALORY SISTEMAS,634563536534
testeg10cantinho.das.flores@hotmail.com,CANTINHO DAS FLORES,634563536534
testeg10carambola_palotina@hotmail.com,CARAMBOLA CONFECCOES,634563536534
testeg10carlize5399@hotmail.com,CARLIZE ESPORTES,634563536534
testeg10olivia_zanfolin@hotmail.com,CARLOS HENRIQUE DE OLIVEIRA - UNIMED,634563536534
testeg10gerentecarolinacalcados@hotmail.com,CAROLINA CALÇADOS,634563536534
testeg10financeirocarolina01@outlook.com,CAROLINA CALÇADOS - 21 DE ABRIL,634563536534
testeg10aggrogps@gmail.com,CARVALHO - CONSULTORIA E TREINAMENTOS,634563536534
testeg10rosileiribeiroo2016@gmail.com,CASA DA DINDA,634563536534
testeg10lorenilsoncc@hotmail.com,CASA DA FOTO,634563536534
testeg10nerileonhardt@hotmail.com,CASA LEONHARD/TOKLAR,634563536534
testeg10milena.castanho@yahoo.com.br,CASACELL ASSISTENCIA TECNICA,634563536534
testeg10lucascalixto2103@gmail.com,CASESHOW,634563536534
testeg10cealavag@hotmail.com,CEAL AVIAÇAO AGRICOLA,634563536534
testeg10ceeduc@colegioceeduc.com.br,CEEDUC,634563536534
testeg10camilapbottini@hotmail.com,CEM SERVIÇOS MÉDICOS,634563536534
testeg10eofacco@hotmail.com,CENTER - AGENTES AUTONOMOS DE INVESTIMENTO,634563536534
testeg10centercalcados88@gmail.com,CENTER CALÇADOS,634563536534
testeg10carlosbraga123@hotmail.com,CENTER CARTUCHOS E PAPELARIA,634563536534
testeg10a.bebidaspna@gmail.com,CENTRAL DAS BEBIDAS - AMBEV,634563536534
testeg10imprensapalotina2012@gmail.com,CENTRAL MIDIAS,634563536534
testeg10divaschedeck@hotmail.com,CENTRO CULTURAL GERMANICO,634563536534
testeg10adenir@trevisan.ind.br,CENTRO CULTURAL ITALIANO DE PÁLOTINA,634563536534
testeg10jenniferperin@outlook.com.br,CENTRO DE ESTETICA DZIDZI,634563536534
testeg10ceramicagrisa@hotmail.com,CERÂMICA GRISA,634563536534
testeg10odair@cerpa.net.br,CERPA,634563536534
testeg10polopalotina@uninter.com,CETESI - Centro Tec. de Ensino Sup. Iguaçú Ltda (UNINTER),634563536534
testeg10charmie@hotmail.com.br,CHARMIE,634563536534
testeg10palotinaautopecas@gmail.com,CHEVROCAR AUTO PEÇAS,634563536534
testeg10toklarguairapr@hotmail.com,CHIQUINHO SORVETES,634563536534
testeg10soledade@qinfonet.com.br,CHURRASCARIA SOLEDADE,634563536534
testeg10claudinilima68@gmail.com,CHURROS QUE DELICIA,634563536534
testeg10roeclaudio@hotmail.com,CLAUDIO PAISAGISTA,634563536534
testeg10embreagensclaus@hotmail.com,CLAUS EMBREAGENS,634563536534
testeg10calixclinica@gmail.com,CLINICA CALIX,634563536534
testeg10drninello@gmail.com,CLINICA GARCIA E NINELLO LTDA - ME,634563536534
testeg10cis_palotina@yahoo.com,CLINICA INTEGRADA DA SAUDE,634563536534
testeg10franklinsampaio@msn.com,CLINICA SOFIA,634563536534
testeg10tania.viverprev@gmail.com,CLINICA VIVER MAIS,634563536534
testeg10mariaeduardaduarte27@hotmail.com,CLOSET DA MODA,634563536534
